key;de;en;fr;nl;es;pt
cw;Rechts;cw;Droite;Rechts;Derecha;Direita
ccw;Links;ccw;Gauche;Links;Izquierda;Esquerda
Stop;Stopp;Stop;Stop;Stop;Detener;Stop
On;Ein;On;Entrée;Aan;Encendido;Ligar
Off;Aus;Off;Sortie;Uit;Apagado;Desligar
=;=;=;=;=;=;=
+;+;+;+;+;+;+
-;-;-;-;-;-;-
Remove;Entfernen;Remove;Enlever;Verwijderen;Suprimir;Retirar
Swap;Vertauschen;Swap;Intervertir;Vervangen;Cambiar;Trocar
Append;Hinzufügen;Append;Ajouter;Toevoegen;Añadir;Adicionar
Vorwärts;Vorwärts;straight;avant;Vooruit;Avance;Para a frente
Links;Links;left;gauche;Links;Izquierda;Esquerda
Rechts;Rechts;right;droite;Rechts;Derecha;Direita
Stopp;Stopp;stop;arrêt;Stop;Detención;Pare
Rückwärts;Rückwärts;backwards;arrière;Achteruit;Retroceso;Para trás
Zurück-Links;Zurück-Links;back-left;Revenir-gauche;Terug-Links;Atrás-Iz.;Retroceder-es.
Zurück-Rechts;Zurück-Rechts;back-right;Revenir-droite;Terug-Rechts;Atrás-Der.;Retroceder-di.
Abfrage Hindernis;Abfrage Hindernis;Obstacle Query;Interrog. obstacle ;Afvragen Hindernis;consulta obstác ;Consulta obst.
Ausweichen 90°;Ausweichen 90°;Evade 90°;embardée 90°;uitwijken 90°;Evitar 90°;Desviar 90°
Ausweichen re;Ausweichen re;Evade right;embardée droite;uitwijken re;Evitar derecha;Desviar direita
Ausweichen li;Ausweichen li;Evade left;embardée gauche;uitwijken li;Evitar iz.;Desviar esqu.
TR;TR;SR;PD;CR;PD;BD
TL;TL;SL;PG;CL;PI;BE
TH;TH;SB;PD;CA;PT;BT
KH;KH;NO;AO;GH;SO;NO
HV;HV;OF;OD;HV;OF;OF
HL;HL;OL;GA;HL;OI;OE
HR;HR;OR;DR;HR;OD;OD
Licht;Licht;Light;Lumière;Licht;lumínica;Luz
Hindernis;Hindernis;Obstacle;Obstacle;Hindernis;obstáculo;Obstáculo
Fahren;Fahren;Driving;Avancer;Rijden;movimiento;Deslocamento
FR;FR;PR;PD;FR;FD;FD
FL;FL;PL;PG;FL;FI;FE
Wert;Wert;value;valeur;waarde;valor;valor
Lichtsuche;Lichtsuche;light-seeking;Recherche Lum.;Licht zoeken;detección lum.;Busca de luz
Linkskurve;Linkskurve;Turn Left;Courbe gauche;Bocht links;Curva iz.;Curva esquerda
Rechtskurve;Rechtskurve;Turn Right;Courbe droite;Bocht rechts;Curva derecha;Curva direita
Abfrage;Abfrage;Query;Interrogation;Afvragen;Consulta;Consulta
Reaktion;Reaktion;Reaction;Réaction;Reactie;Reacción;Reação
RV;VR;FR;DR;RV;DE;DI
LV;VL;FL;GA;LV;IZ;ES
RH;HR;BR;DD;RA;DD;AD
LH;HL;BL;DG;LA;DI;AE
MR;MR;MR;MD;MR;MD;MD
ML;ML;ML;MG;ML;MI;ME
Zurück-re;Zurück-re;back-right;Rev. Droite;Terug-re;Atrás-Der.;Retro.-di.
Zurück-li;Zurück-li;back-left;Rev. Gauche;Terug-li;Atrás-Iz.;Retro.-es.
Lauf vor;Lauf vor;Walk straight;Avant;vorruit lopen ;Andar-av.;Deslocar fr.
Lauf links;Lauf links;Walk left;Avance gauche;links lopen;Andar-iz.;Deslocar es.
Lauf rechts;Lauf rechts;Walk right;Avance droite;rechts lopen;Andar-de.;Deslocar di.
Lauf rückwärts;Lauf rückwärts;Walk backwards;Reculer;achteruit lopen;Andar-retro.;Deslocar trás
Speichern;Speichern;Save;Sauvegarder;Opslaan;Memorizar;Salvar
Lernen;Lernen;Learn;Apprendre;Leren;Aprender;Programar
Wiedergabe;Wiedergabe;Run;Reproduction;Weergeven;Repetir;Reprodução
Spursuche;Spursuche;track-seeking;Recherche de trace;Spoor zoeken;Seguim. rastros;Busca trilha
Hauptprogramm;Hauptprogramm;Main program;Programme principal;Hoofdprogramma;Programma principal;Programa principal
Eingang;Eingang;Entry;Entrée;Ingang;Entrada;Entrada
Ein;Ein;In;Entrée;In;Entrada;Entrada
Ausgang;Ausgang;Exit;Sortie;Uitgang;Salida;Saída
Aus;Aus;Out;Sortie;Uit;Salida;Saída
Versorgungsspannung;Versorgungsspannung;Supply Voltage;Alimentation en courant;Verzorgingsspanning;Tensión de alimentación;Tensão de alim.
Motorgeschwindigkeit;Motorgeschwindigkeit;motor speed;vitesse;snelheid;velocidad;velocidade
Vor;Vor;straight;avant;Vooruit;Avance;Para a frente
Zurück;Zurück;back;Revenir;Terug;Atrás;Retroceder
Auf;Auf;open;ouvrir;openen;abrirse;abrir
Zu;Zu;close;fermer;sluiten;cerrarse;fechar
Hoch;Hoch;up;relever;omhoog;levantarse;cima
Runter;Runter;down;abaisser;waas;bajarse;abaixar
Vor;Vor;forward;avant;voorwaarts;delantero;frente
Zurück;Zurück;backward;arrière;achterwaarts;posterior;trás
Mein erstes Unterprogramm;Mein erstes Unterprogramm;;Mon premier sous-programme;;;
Zähler;Zähler;counter;Compteur;teller;contador;counter
Gesamt;Gesamt;total;Ensemble;totale;total;total
Hauptinterface;Hauptinterface;Main interface;Interface principale;Hoofdinterface;Interfase principal;Interface principal
Hauptprogramm;Hauptprogramm;Main program;Programme principal;Hoofdprogramma;Programa principal;Programa principal
Messgerät;Messgerät;Panel Meter;Appareil de mesure;Meetapparaat;Aparato de medición;Aparelho de medição
Temperatur;Temperatur;temperature;température;temperatuur;temperatura;temperatura
Helligkeit;Helligkeit;brightness;luminosité;Helderheid;Luminosidad;Luminosidade
Liste;Liste;list;liste;Lijst;Lista;Lista
Knopf;Knopf;Button;Bouton;Knop;Botón;Botão
Anzeige;Anzeige;Display;Affichage;Weergave;Visualización;Indicação
Regler;Regler;Slider;Mécanisme de réglage;Regelaar;Regulador;Regulador
Bedienfeld;Bedienfeld;Panel;Panneau de commande;Bedieningsveld;Panel de control;Painel de comando
Text;Text;Text;Texte;Tekst;Texto;Texto
Lampe;Lampe;Lamp;Lampe;Lamp;Lámpara;Lâmpada
J;J;Y;O;J;S;S
N;N;N;N;N;N;N
